Crop Name,Year,Season,State,Area (Ha),Production (Tonnes),Inflation Rate (%),Production Cost (Per Tonne),Market Price (per Tonne),Supply (Tonnes),Demand (Tonnes),Import Volume (tonnes),Export Volume (tonnes),Interest Rate (%),Yield,Profit Margin (%),Category
Ragi,2016,Rabi       ,Andhra Pradesh,27379.82,495507.37,5.41,33470.74,46118.25,33254.53,36830.43,42551.84,108922.01,10.52,18.1,65.32,wholesale
Rapeseed &Mustard,2016,Kharif     ,Andhra Pradesh,24825.92,32194.36,6.67,32433.56,44063.59,55000.77,14980.24,40307.4,68515.91,10.07,1.3,73.61,retail
Rapeseed &Mustard,2016,Rabi       ,Andhra Pradesh,119238.11,363702.12,3.34,58362.97,80698.95,93049.59,48099.73,7986.42,142294.56,10.88,3.05,65.09,direct
Rice,2016,Kharif     ,Andhra Pradesh,29624.63,354872.64,6.91,56060.45,78881.31,55178.09,85833.75,45862.88,78846.99,12.62,11.98,63.96,wholesale
Rice,2016,Rabi       ,Andhra Pradesh,96463.95,269639.52,2.7,39519.28,43633.91,65737.47,31704.73,54609.85,44989.55,9.11,2.8,81.51,retail
Safflower,2016,Kharif     ,Andhra Pradesh,74201.32,456418.56,2.06,45018.57,43187.28,24252.26,81570.53,56732.67,104462.91,9.79,6.15,93.82,direct
Safflower,2016,Rabi       ,Andhra Pradesh,15890.43,114833.47,5.74,43080.13,92196.57,39909.82,29350.67,26678.3,41404.04,10.06,7.23,46.73,wholesale
Sesamum,2016,Kharif     ,Andhra Pradesh,184239.02,87570.3,5.78,54584.04,42134.4,21826.01,57435.15,52806.29,77604.97,10.81,0.48,129.55,retail
Sesamum,2016,Rabi       ,Andhra Pradesh,111564.08,373807.7,5.81,28079.54,54543.93,42314.94,11568.8,24640.46,130867.19,14.79,3.35,46.33,direct
Small millets,2016,Kharif     ,Andhra Pradesh,88184.71,122044.47,7.87,32681.16,43711.65,16009.49,56214.36,55121.14,46397.68,13.42,1.38,74.77,wholesale
Small millets,2016,Rabi       ,Andhra Pradesh,154319.42,18785.65,5.15,51287.17,67275.9,79991.6,14639.92,16102.3,56614.51,13.48,0.12,76.23,retail
Soyabean,2016,Kharif     ,Andhra Pradesh,30286.03,246942.38,6.3,41288.88,51125.55,54349.89,61661.35,92991.63,27241.02,10.07,8.15,80.76,direct
Soyabean,2016,Rabi       ,Andhra Pradesh,70605.14,24764.68,7.05,43393.47,62521.23,79430.68,31793.55,69309.37,99337.75,9.53,0.35,69.41,wholesale
Sugarcane,2016,Whole Year ,Andhra Pradesh,185062.44,11067.1,2.73,50924.72,67618.59,74555.31,71281.2,49516.77,70171.46,13.8,0.06,75.31,retail
Sunflower,2016,Kharif     ,Andhra Pradesh,164480.17,475451.77,9.63,45706.59,59668.82,69124.51,45458.31,49722.54,106373.72,10.38,2.89,68.94,direct
Sunflower,2016,Rabi       ,Andhra Pradesh,119134.85,495416.32,5.31,39343.07,71822.58,25768.79,52299.3,7449.59,29916.89,9.9,4.16,49.3,wholesale
Sweet potato,2016,Kharif     ,Andhra Pradesh,157805.64,432102.73,0.03,39672.09,56454.67,88493.82,71225.74,54702.67,103899.07,8.96,2.74,63.25,retail
Sweet potato,2016,Rabi       ,Andhra Pradesh,118827.01,228956.14,3.68,58501.09,90500.11,32963.07,73774.29,60087.67,57888.42,10.9,1.93,64.64,direct
Tapioca,2016,Kharif     ,Andhra Pradesh,162090.1,45411.53,6.07,50783,73361.61,78973.66,60968.31,37620.78,86717.55,12.56,0.28,69.22,wholesale
Tapioca,2016,Rabi       ,Andhra Pradesh,199271.62,433598.24,9.25,39435.5,54692.43,59861.25,46937.14,53815.21,21859.39,12.81,2.18,64.89,retail
Tobacco,2016,Kharif     ,Andhra Pradesh,44284.8,461340.33,5.95,30751.96,32560.33,67077.86,48004.52,24419.15,77977.34,13.78,10.42,85,direct
Tobacco,2016,Rabi       ,Andhra Pradesh,59402.49,397063.13,9.57,56531.59,37765.71,71200.29,83076.9,14777.73,102666.74,14.03,6.68,134.72,wholesale
Urad,2016,Kharif     ,Andhra Pradesh,43641.94,391694.26,5.55,24028.85,55788.12,43536.6,87166.05,41128.37,109245.24,13.97,8.98,38.76,retail
Urad,2016,Rabi       ,Andhra Pradesh,155518.59,471726.07,2.32,26962.81,60627.32,25478.55,45986.6,45654.52,91497.21,10.18,3.03,40.03,direct
Wheat,2016,Rabi       ,Andhra Pradesh,193126.85,82525.32,6.44,31427.67,96863.81,26933.52,44381.83,25607.12,91837.25,13.29,0.43,32.45,wholesale
other oilseeds,2016,Kharif     ,Andhra Pradesh,194951.59,284203.03,3.78,42318.56,57644.55,40342.58,62249.32,50871.46,72571.62,13.39,1.46,66.07,retail
Arecanut,2016,Kharif     ,Puducherry,88863.41,422361.65,4.1,30968.9,33352.4,15595.35,45370.49,20546.6,26047.73,13.39,4.75,83.57,direct
Bajra,2016,Kharif     ,Puducherry,133726.47,345333.62,0.89,29272.33,63950.89,20351.76,67137.16,27470.53,106942.91,11.37,2.58,41.2,wholesale
Bajra,2016,Summer     ,Puducherry,121156.6,31499.3,1.45,48995.32,56607.9,76440.66,58568.46,68086.8,24625.87,12.8,0.26,86.55,retail
Banana,2016,Kharif     ,Puducherry,40674.65,247163.43,6.47,25872.35,59286.96,71033.82,41802.34,51923.58,17308.01,12.88,6.08,43.64,direct
Black pepper,2016,Kharif     ,Puducherry,186444.63,223067.16,2.09,23087.56,66438.67,10718.26,70343.4,80292.79,14796.03,10.92,1.2,34.75,wholesale
Cashewnut,2016,Kharif     ,Puducherry,38671.87,119382.85,8.14,30855.49,85456.64,38671.75,65934.05,48878.3,46153.63,13.13,3.09,36.11,retail
Coconut ,2016,Whole Year ,Puducherry,189846.52,279186.21,3.08,46067.32,64473.26,48161.34,14444.23,23499.73,61572.49,10.88,1.47,64.31,direct
Cotton(lint),2016,Kharif     ,Puducherry,35474.36,133113.97,3.11,24465.53,58333.11,17258.21,14460.49,23588.33,23569.79,12.89,3.75,41.94,wholesale
Dry chillies,2016,Rabi       ,Puducherry,136335.24,188699.26,4.89,25227.57,72919.82,58168.71,56269.43,37694.14,34577.56,12.14,1.38,34.6,retail
Groundnut,2016,Kharif     ,Puducherry,118570.69,457868.23,7.82,52614.41,34398.51,20378.89,77241.73,55729.9,64105.2,14.2,3.86,137.66,direct
Groundnut,2016,Rabi       ,Puducherry,96396.14,475290.35,5.49,42999.13,73561.56,38092.4,12906.09,22346.55,101527.68,15.41,4.93,52.61,wholesale
Groundnut,2016,Summer     ,Puducherry,128965.14,74519.23,0.44,33893.92,52063.34,14151.18,23852.2,23461.06,33258.52,9.56,0.58,65.1,retail
Jowar,2016,Kharif     ,Puducherry,127011.98,80536.86,6.67,38580.35,61527.51,47810.01,62405.36,63231.04,78615.75,10.4,0.63,62.7,direct
Jowar,2016,Summer     ,Puducherry,71121.72,484357.26,3.95,40322.95,80132.53,57243.13,71514.77,61828.15,63019.49,11.83,6.81,45.29,wholesale
Moong(Green Gram),2016,Rabi       ,Puducherry,32214.29,383308.79,0.51,53474.41,61322.04,24300.44,53884.21,49501.5,43824.48,12.24,11.9,78.48,retail
Moong(Green Gram),2016,Summer     ,Puducherry,121235.67,291925.72,8.77,33586.3,51880.56,82653.21,11648.15,34712.48,82598.66,12.11,2.41,58.26,direct
Onion,2016,Summer     ,Puducherry,177609.63,300034.72,7.76,43799.48,47468.75,80108.09,36497,43722.64,81049.4,11.85,1.69,83.04,wholesale
Other  Rabi pulses,2016,Rabi       ,Puducherry,196524.76,132086.3,7.36,56025.78,44525.68,62073.6,13407.81,90620.44,25786.93,9.79,0.67,125.83,retail
Other Kharif pulses,2016,Kharif     ,Puducherry,115337.5,316196.77,7.21,22120.43,39033.12,22010.62,84828.47,7617.37,142800.22,11.62,2.74,51,direct
Other Summer Pulses,2016,Summer     ,Puducherry,150728.06,20703.23,7.34,27326.85,76932.49,66761.48,74265.32,36972.17,69259.52,12.75,0.14,35.52,wholesale
Ragi,2016,Kharif     ,Puducherry,118841.05,123734.07,4.09,57790.01,98326.64,25380.84,76151.81,24707.05,61871.99,13.72,1.04,58.77,retail
Ragi,2016,Rabi       ,Puducherry,147666.71,31967.79,4.73,41946.04,42679.3,14973.76,29467.29,51249.92,98753.52,13.8,0.22,98.28,direct
Ragi,2016,Summer     ,Puducherry,68308.8,201131.37,3.17,31573.56,91868.79,49820.65,13605.62,53712.98,86250.67,11.26,2.94,34.37,wholesale
Rice,2016,Kharif     ,Puducherry,143554.44,495437.38,5.06,48189.54,54988.44,49173.6,72256.19,6914.8,141807.15,12.9,3.45,78.87,retail
Rice,2016,Rabi       ,Puducherry,147251.81,444160.61,0.77,44619.6,58439.04,61161.88,69547.5,8992.88,127170.32,13.37,3.02,68.72,direct
Rice,2016,Summer     ,Puducherry,81784.76,255802.3,6.28,40490.01,36362.72,91937.01,80689.3,61114.28,54583.74,10.5,3.13,100.22,wholesale
Sesamum,2016,Kharif     ,Puducherry,56698.92,459054.04,4.19,49999.96,65653.59,55301.72,11590.47,22407.88,90624.38,12.24,8.1,68.54,retail
Sesamum,2016,Rabi       ,Puducherry,62442.02,27974.91,8.93,42047.84,78641.91,25967.94,79153.37,41062.71,67167.24,13.34,0.45,53.47,direct
Sesamum,2016,Summer     ,Puducherry,188336.47,333205.88,1.48,23096.44,50198.42,75392.96,76512.27,40119.26,48740.64,9.56,1.77,41.41,wholesale
Sugarcane,2016,Kharif     ,Puducherry,66797.81,426196.68,9.11,49646.91,72150.57,86994.41,52958.7,51845.96,53453.83,9.57,6.38,61.93,retail
Sweet potato,2016,Kharif     ,Puducherry,137126.67,375699.37,9.76,50175.26,69319.2,49237.64,49151.45,61784.94,129591.96,13.24,2.74,65.14,direct
Tapioca,2016,Kharif     ,Puducherry,10440.8,97783.18,4.82,44828.81,90787.82,79285.94,47261.44,35136.15,95044.63,13.77,9.37,49.38,wholesale
Tapioca,2016,Rabi       ,Puducherry,110869.31,487217.94,5.76,56348.72,73260.28,64861.61,81215.98,16172.76,83827.27,8.96,4.39,69.22,retail
Turmeric,2016,Kharif     ,Puducherry,25665.5,255778.41,6.45,22607.36,67021.1,57071.38,61343.25,27576.68,35577.95,10.04,9.97,30.36,direct
Urad,2016,Kharif     ,Puducherry,36276.82,36553.28,4.22,48464.51,83782.15,72320.94,24853.74,74233.09,30832.94,11.8,1.01,57.85,wholesale
Urad,2016,Rabi       ,Puducherry,101895.36,361532.02,8.17,50361.26,35050.06,56621.61,52019.06,44740.5,108961.95,12.62,3.55,129.32,retail
Urad,2016,Summer     ,Puducherry,21927.81,449549.14,3.92,26468.59,70253.03,24200.52,38206.65,39440.41,30597.61,12.13,20.5,33.91,direct
Arecanut,2016,Rabi       ,Assam,96099.14,10133.21,1.02,50154.34,56534.94,78035.45,13795.31,85609.98,30614.09,8.5,0.11,88.71,wholesale
Arhar/Tur,2016,Kharif     ,Assam,144680.46,59275.89,2.55,54810.81,47581.14,76537.86,20471.25,34816.79,51065.09,11.32,0.41,115.19,retail
Banana,2016,Whole Year ,Assam,173850.43,150948.23,0.24,49935,71343.86,14967.88,27931.37,29850.22,32693.83,11.07,0.87,69.99,direct
Black pepper,2016,Whole Year ,Assam,101885.01,356622.27,9.25,22688.55,64922.64,57342.62,72525.03,20155.16,81896.26,15.15,3.5,31.45,wholesale
Castor seed,2016,Kharif     ,Assam,11532.79,464821.04,6.83,25464.48,74153.94,68240.72,84703.03,11307.62,94501.79,15.31,40.3,30.91,retail
Coconut ,2016,Whole Year ,Assam,53667.98,377852.3,5.65,57487.7,45973.02,29374.1,36685.31,47704.88,35895.54,10.57,7.04,112.54,direct
Cotton(lint),2016,Kharif     ,Assam,10441.86,265641.54,9.71,55429.14,63720.53,69859.07,29983.56,49659.22,102919.08,13.58,25.44,78.29,wholesale
Dry chillies,2016,Whole Year ,Assam,146446.89,319548.11,5.35,46287.81,77062.1,14896.17,64712.44,7941.25,18570.95,11.2,2.18,54.06,retail
Ginger,2016,Whole Year ,Assam,118251.98,267758.65,7.71,35907.24,43980.96,13941.86,38890.59,13784.21,98462.89,15.1,2.26,73.48,direct
Gram,2016,Rabi       ,Assam,78839.37,168382.32,3.57,29899.05,51254.18,75586.62,45925.25,95851.28,82550.48,11.41,2.14,58.33,wholesale
Jute,2016,Kharif     ,Assam,78285.53,112588.99,4.31,34245.27,81122.01,30092.44,27364.15,29164.21,18559.07,9.71,1.44,42.21,retail
Linseed,2016,Rabi       ,Assam,171503.09,473210.1,3.32,28632.94,42782.26,70312.51,56355.34,42291.62,102476.18,9.3,2.76,60.23,direct
Maize,2016,Kharif     ,Assam,187744.98,406160.21,2.06,53836.02,67997.13,79935.67,21414.18,35051.33,94566.21,10.98,2.16,71.26,wholesale
Masoor,2016,Rabi       ,Assam,12985.84,315163.19,3.67,39107.36,61821.25,13827.3,30573.39,44611.45,120096.59,9.82,24.27,56.93,retail
Mesta,2016,Kharif     ,Assam,23148.99,327049.79,7.62,34099.57,33970.19,59896.53,52439.1,26882.12,88047.73,9.87,14.13,90.34,direct
Moong(Green Gram),2016,Rabi       ,Assam,48738.84,173187.77,6.5,53478.64,83745.58,21525.52,79428,92722.7,23323.54,8.64,3.55,63.86,wholesale
Niger seed,2016,Kharif     ,Assam,33200.93,442190.73,3.23,36580.83,75342.76,57215.41,29056.84,51288.08,43485.7,9.8,13.32,43.7,retail
Onion,2016,Whole Year ,Assam,122603.09,300425.26,1.28,55328.95,51146.27,27691.98,39545.37,40441.52,129349.2,13.04,2.45,97.36,direct
Other  Rabi pulses,2016,Rabi       ,Assam,108328.54,351761.27,2.93,20822.01,52760.86,79851.82,14409.49,19618.28,86862.78,14.29,3.25,35.52,wholesale
Peas & beans (Pulses),2016,Rabi       ,Assam,54926.49,20859.96,2.32,33015.06,77794.7,26682.07,47360.55,70196.52,11217.34,11.64,0.38,42.44,retail
Potato,2016,Whole Year ,Assam,81773.52,103367.86,2.06,35308.92,47111.58,70825.95,65294.91,92726.66,68000.27,11.83,1.26,74.95,direct
Rapeseed &Mustard,2016,Rabi       ,Assam,62874.32,92127.84,3.38,35648.86,85739.03,46722.95,58583.09,95828.51,88409.43,9.51,1.47,41.58,wholesale
Rice,2016,Autumn     ,Assam,162345.74,75072.28,7.91,34622.32,80212.52,20491.99,17325.23,96770.03,19635.12,9.05,0.46,43.16,retail
Rice,2016,Summer     ,Assam,78069.75,358021.5,4.22,40393.91,58000.46,86202.04,22489.81,30308.31,118988.59,13.7,4.59,62.68,direct
Rice,2016,Winter     ,Assam,162742.7,394654,3.59,23182.74,63281.61,66542.05,64101.6,7452.22,95295.63,14.22,2.43,32.97,wholesale
Sesamum,2016,Kharif     ,Assam,86990.58,302705.05,0.2,57474.38,33075.33,90266.39,69705.14,61278.69,83455.54,10.62,3.48,156.39,retail
Small millets,2016,Kharif     ,Assam,196554.01,180067.16,9.09,43998.13,85326.68,25876.1,16821.56,26086.29,10182.17,12.68,0.92,51.56,direct
Sugarcane,2016,Whole Year ,Assam,180941.51,260006.51,9.03,45047,53167.95,29847.39,67138.89,32846.51,54050.33,9.46,1.44,76.25,wholesale
Sweet potato,2016,Whole Year ,Assam,101793.21,122667.09,9.17,21959.35,81962.26,25195.01,69959.35,75907.2,90713.94,8.82,1.21,26.79,retail
Tapioca,2016,Whole Year ,Assam,95617.3,52965.23,9.26,48675.69,48206.34,63276.34,63689.27,72072.05,17739.14,10.19,0.55,100.97,direct
Tobacco,2016,Whole Year ,Assam,67601.43,129176.13,2.37,34503.11,94405.15,32644.49,30061.33,29371.22,21323.02,10.03,1.91,36.55,wholesale
Turmeric,2016,Whole Year ,Assam,126308.09,83806.72,7.03,26800.24,43324.08,69421.06,74489.89,74100.53,19458.08,8.98,0.66,61.86,retail
Urad,2016,Rabi       ,Assam,165190.06,385317.33,8.88,54184.68,80446.33,30007.26,40092.42,61322.53,86482.73,9.71,2.33,60.62,direct
Wheat,2016,Rabi       ,Assam,113887.39,202440.07,3.82,52251.52,58736.7,20687.91,50345.39,44388.81,63227.91,10.72,1.78,88.96,wholesale
Arecanut,2016,Rabi       ,Meghalaya,116433.95,303086.13,5.16,31247.52,56381.2,30703.13,41589.76,34101.55,102467.96,11.88,2.6,49.88,retail
Arhar/Tur,2016,Kharif     ,Meghalaya,147920.31,460737.16,3.34,47893.85,65430.74,32942.45,18042.4,27978.6,36011.97,9.34,3.11,65.88,direct
Banana,2016,Kharif     ,Meghalaya,153417.78,397764.28,9.92,37648.46,39738.72,93235.39,27662.17,17187.47,28347.21,14.01,2.59,85.27,wholesale
Black pepper,2016,Rabi       ,Meghalaya,63124.09,167754.3,7.29,40297.46,80648.43,75181.05,40870.2,14679.31,53239.46,13.5,2.66,49.97,retail
Cashewnut,2016,Rabi       ,Meghalaya,78661.36,230322.83,9.28,36173.17,54825.16,66183.86,49378.25,86510.16,50678.38,11.89,2.93,65.98,direct
Castor seed,2016,Rabi       ,Meghalaya,154323.18,409908.09,3.78,50555.37,61881.64,83445.04,54868.94,50499.58,51043.76,14.95,2.66,73.53,wholesale
Cotton(lint),2016,Kharif     ,Meghalaya,33606.51,14908.98,4.42,52866.26,81752.11,32699.61,62537.48,98436.16,66497.9,9.72,0.44,64.67,retail
Cowpea(Lobia),2016,Rabi       ,Meghalaya,99822.48,203025.68,9.8,49510.31,84557.75,33083.79,66871.01,41787.65,11925.53,11.25,2.03,58.55,direct
Dry chillies,2016,Whole Year ,Meghalaya,195945.02,32370.07,7.67,23089.76,88575.55,22434.31,37237.37,13375.2,46467.59,8.4,0.17,26.07,wholesale
Ginger,2016,Kharif     ,Meghalaya,189189,430619.21,6.45,41907.41,65858.63,16839.66,51303.54,33166.59,21742.09,13.14,2.28,57.27,retail
Gram,2016,Rabi       ,Meghalaya,183683.85,120927.2,3.42,57456.67,62619.02,59105.96,10729.82,81589.6,60149.07,10.2,0.66,91.76,direct
Jute,2016,Kharif     ,Meghalaya,37857.06,171087.7,3.21,47911.04,56948.29,75119.45,42151.86,48266.63,17696.81,11.96,4.52,84.13,wholesale
Linseed,2016,Rabi       ,Meghalaya,95067.44,344858.32,2.32,49480,57004.09,15107.66,75230.83,37834.47,66619.04,10.29,3.63,78.12,retail
Maize,2016,Kharif     ,Meghalaya,24155.02,69412.82,1.79,22423.91,94324.76,61972.19,22291.83,37170.36,10466.48,12.55,2.87,23.77,direct
Masoor,2016,Rabi       ,Meghalaya,58207.35,60118.63,8.68,25328.58,88221.01,35194.34,37392.19,91141.13,76209.05,10.26,1.03,28.71,wholesale
Mesta,2016,Kharif     ,Meghalaya,15905.66,253471.76,7.2,28840.67,78308.95,71710.85,63368.3,62007.76,71392.8,9.66,15.94,33.15,retail
Onion,2016,Rabi       ,Meghalaya,167212.58,102978.11,5.02,34501.39,99024.26,49911.34,47743.28,11880.55,52749.66,9.82,0.62,34.84,direct
Peas & beans (Pulses),2016,Rabi       ,Meghalaya,106181.53,185818.05,3.8,33128.59,76835.31,78225.64,13024.5,35762.68,16318.3,9.33,1.75,43.12,wholesale
Potato,2016,Summer     ,Meghalaya,129968.54,95451.07,0.5,43377.48,94351.29,11801.68,75146.15,96468.4,97760.37,9.92,0.73,45.97,retail
Potato,2016,Winter     ,Meghalaya,178791.21,309128.34,2.94,25066.18,36444.74,12759.3,42493.17,38921.7,90542.98,10.71,1.73,61.9,direct
Rapeseed &Mustard,2016,Rabi       ,Meghalaya,127407.23,416994.35,8.12,50202.23,56443.68,41303.46,47519.24,48288.74,19344.82,9.91,3.27,80.05,wholesale
Rice,2016,Autumn     ,Meghalaya,158886.73,243355.18,6.54,24480.22,76459.17,26678.97,52092.07,96069.84,29096.71,13.48,1.53,32.02,retail
Rice,2016,Rabi       ,Meghalaya,39923.81,444886.7,7.01,52918.72,79622.08,17041.34,74285.21,33299.01,47439.06,12.05,11.14,59.82,direct
Rice,2016,Winter     ,Meghalaya,177536.34,363143.29,1.5,30543.76,65984.82,93308.51,64773.71,59791.73,110734.13,12.58,2.05,41.66,wholesale
Sesamum,2016,Rabi       ,Meghalaya,23279.58,88712.86,4.99,45823.19,74416.63,62923.91,26081.19,71767.82,96258.44,8.34,3.81,61.58,retail
Small millets,2016,Rabi       ,Meghalaya,141808.59,481328.78,6.52,57931.22,57471.79,25599.45,69039.33,11529.28,131837.29,8.85,3.39,90.72,direct
Soyabean,2016,Kharif     ,Meghalaya,197056.24,221109.14,2.36,24193,97952.27,72023.04,41687.69,28101.31,94282.88,12.25,1.12,24.7,wholesale
Sugarcane,2016,Whole Year ,Meghalaya,110239.44,261934.92,3.48,57792.15,56388.99,77117.25,69412.75,61532.72,14679.47,9.25,2.38,92.24,retail
Sweet potato,2016,Kharif     ,Meghalaya,185257.33,117656.4,7.71,42196.38,70724.58,33610.26,76107.77,97040.22,16172.99,8.38,0.64,59.66,direct
Tapioca,2016,Kharif     ,Meghalaya,33874.21,44091.8,5.95,50124.35,77945.98,36035.57,67526.09,34935.94,26009.78,13.46,1.3,64.31,wholesale
Tobacco,2016,Rabi       ,Meghalaya,48918.66,207762.21,1.05,32092.07,62445.65,27595.15,56675.21,32803.16,84091.91,10.19,4.25,51.39,retail
Turmeric,2016,Whole Year ,Meghalaya,124439.42,128973.18,1.16,28666.75,68739.1,32217.51,17446.13,56795.88,96790.85,9.27,1.04,41.7,direct
Wheat,2016,Rabi       ,Meghalaya,189446.22,410147.78,9.89,26523.99,64360.18,96194.86,42018.04,23909.42,122252.8,10.05,2.16,37.09,wholesale
Arecanut,2016,Whole Year ,Goa,122701.29,313579.54,7.05,29782.43,33599.3,20457.03,23845.08,57586.13,141883.14,13.56,2.56,79.78,retail
Banana,2016,Whole Year ,Goa,158658.66,432709.43,2.88,41829.92,71517.44,34401.11,49751.47,10123.06,48540.06,13.33,2.73,52.64,direct
Black pepper,2016,Whole Year ,Goa,181996.44,58389.02,6.91,38015.44,49045.35,30822.19,26085.73,12197.43,35012.02,8.2,0.32,77.51,wholesale
Cashewnut,2016,Whole Year ,Goa,80777.31,59690.28,1.77,47769.81,95801.3,37877.92,48375.81,51137.36,90181.44,8.26,0.74,49.86,retail
Coconut ,2016,Whole Year ,Goa,114365.86,124475.05,6.05,41619.68,94881.26,30039.86,63415.58,64342.23,92324.15,9.32,1.09,43.87,direct
Groundnut,2016,Kharif     ,Goa,182634.43,373241.88,4.89,42291.95,77513.08,84303.91,34426.22,27015.57,19366.65,13.86,2.04,49.1,wholesale
Groundnut,2016,Rabi       ,Goa,18908.79,346295.39,7.93,57649.31,35655.64,65363.39,77316.91,9599.72,41539.49,10.28,18.31,145.52,retail
Other  Rabi pulses,2016,Rabi       ,Goa,161743.66,159143.66,1.27,45584.12,90321.16,33276.73,60577.84,17941.2,34818.57,9.1,0.98,50.47,direct
Other Kharif pulses,2016,Kharif     ,Goa,181614.49,104035.61,3.47,34506.03,47857.71,58837.7,26882.62,89542.85,27745.21,12.29,0.57,72.1,wholesale
Rice,2016,Kharif     ,Goa,14952.77,27008.95,8.05,29915.28,56657.05,11894.56,44829.92,11613.85,70386.83,11.08,1.81,52.8,retail
Rice,2016,Rabi       ,Goa,59011,409772.48,2.2,27645.41,78567.36,83480.14,60786.73,53429.19,56409.69,14.09,6.94,31.67,direct
Sugarcane,2016,Whole Year ,Goa,11606.15,384707.13,0.66,31177.53,72751.82,58719.98,26948.26,54083.84,55278.71,12.47,33.15,38.57,wholesale
